State,NCESID,District,Included in national analysis,Included in nonwhite & white analysis,Included in nonwhite pov & white pov analysis,Racial concentration,Poverty,Urbanicity,Enrollment,Percent Nonwhite,Percent White,Student poverty rate,"State and local revenue, per pupil, cost adjusted","Local revenue, per pupil, cost adjusted","State revenue, per pupil, cost adjusted","State and local revenue, cost adjusted","Local revenue, cost adjusted","State revenue, cost adjusted",Median household income,Median property value
Alabama,100810,Coffee County School District,yes,yes,yes,Concentrated white,low poverty,42-Rural: Distant,"2,081",11%,89%,16%,"$8,466.00","$2,327.00","$6,139.00","$17,617,464.00","$4,843,035.00","$12,774,428.00","$46,136.00","$106,100.00"
Alabama,100840,Colbert County School District,yes,yes,no,Concentrated white,high poverty,41-Rural: Fringe,"2,638",19%,81%,23%,"$11,079.00","$4,981.00","$6,098.00","$29,227,564.00","$13,139,957.00","$16,087,607.00","$42,465.00","$94,700.00"
Alabama,100870,Conecuh County School District,yes,yes,yes,Concentrated nonwhite,high poverty,41-Rural: Fringe,"1,525",84%,16%,42%,"$13,266.00","$6,675.00","$6,592.00","$20,230,937.00","$10,178,649.00","$10,052,288.00","$27,609.00","$72,300.00"
Alabama,100900,Coosa County School District,yes,no,no,Not concentrated,high poverty,43-Rural: Remote,"1,003",49%,51%,28%,"$9,723.00","$3,363.00","$6,360.00","$9,752,193.00","$3,372,807.00","$6,379,386.00","$31,910.00","$76,500.00"
Alabama,100930,Covington County School District,yes,yes,no,Concentrated white,high poverty,42-Rural: Distant,"3,178",10%,90%,24%,"$9,069.00","$2,803.00","$6,266.00","$28,819,957.00","$8,907,809.00","$19,912,148.00","$41,206.00","$94,700.00"
Alabama,100960,Crenshaw County School District,yes,no,no,Not concentrated,high poverty,43-Rural: Remote,"2,239",37%,63%,26%,"$8,632.00","$2,503.00","$6,130.00","$19,327,605.00","$5,603,652.00","$13,723,953.00","$37,557.00","$77,600.00"
Alabama,100990,Cullman City School District,yes,yes,no,Concentrated white,high poverty,32-Town: Distant,"3,130",13%,87%,21%,"$9,331.00","$4,404.00","$4,927.00","$29,205,788.00","$13,785,638.00","$15,420,150.00","$40,817.00","$143,400.00"
Alabama,101020,Cullman County School District,yes,yes,yes,Concentrated white,low poverty,42-Rural: Distant,"9,573",13%,87%,18%,"$9,335.00","$3,009.00","$6,327.00","$89,368,703.00","$28,800,643.00","$60,568,060.00","$38,821.00","$112,700.00"
Alabama,101050,Dale County School District,yes,yes,no,Concentrated white,high poverty,42-Rural: Distant,"3,079",23%,77%,24%,"$8,690.00","$2,544.00","$6,146.00","$26,756,871.00","$7,832,981.00","$18,923,890.00","$43,945.00","$103,200.00"
Alabama,101080,Daleville City School District,yes,no,no,Not concentrated,high poverty,32-Town: Distant,"1,078",50%,50%,29%,"$8,725.00","$2,369.00","$6,356.00","$9,405,920.00","$2,553,911.00","$6,852,008.00","$45,803.00","$111,600.00"
Alabama,101110,Dallas County School District,yes,yes,yes,Concentrated nonwhite,high poverty,42-Rural: Distant,"3,243",77%,23%,52%,"$9,411.00","$2,146.00","$7,265.00","$30,521,127.00","$6,959,913.00","$23,561,213.00","$32,551.00","$73,900.00"
Alabama,101170,Decatur City School District,yes,no,no,Not concentrated,high poverty,13-City: Small,"8,693",60%,40%,27%,"$10,613.00","$5,317.00","$5,296.00","$92,261,555.00","$46,221,639.00","$46,039,916.00","$42,602.00","$127,100.00"
Alabama,101140,Dekalb County School District,yes,no,no,Not concentrated,high poverty,42-Rural: Distant,"9,015",44%,56%,28%,"$8,669.00","$2,258.00","$6,411.00","$78,151,381.00","$20,354,696.00","$57,796,685.00","$38,212.00","$96,800.00"
Alabama,101200,Demopolis City School District,yes,no,no,Not concentrated,high poverty,33-Town: Remote,"2,289",57%,43%,36%,"$7,835.00","$2,330.00","$5,506.00","$17,935,450.00","$5,333,333.00","$12,602,116.00","$25,942.00","$115,100.00"
Alabama,101230,Dothan City School District,yes,no,no,Not concentrated,high poverty,13-City: Small,"9,336",63%,37%,27%,"$8,136.00","$2,737.00","$5,398.00","$75,954,023.00","$25,555,904.00","$50,398,119.00","$42,569.00","$141,000.00"
Alabama,101260,Elba City School District,yes,no,no,Not concentrated,high poverty,43-Rural: Remote,615,56%,44%,27%,"$10,070.00","$2,992.00","$7,079.00","$6,193,347.00","$1,839,917.00","$4,353,430.00","$28,125.00","$103,300.00"
Alabama,101290,Elmore County School District,yes,no,no,Not concentrated,low poverty,31-Town: Fringe,"11,232",34%,66%,19%,"$8,101.00","$2,560.00","$5,542.00","$90,993,691.00","$28,749,737.00","$62,243,954.00","$54,098.00","$154,100.00"
Alabama,101320,Enterprise City School District,yes,no,no,Not concentrated,low poverty,32-Town: Distant,"6,823",41%,59%,19%,"$8,101.00","$2,549.00","$5,552.00","$55,274,428.00","$17,392,931.00","$37,881,497.00","$54,217.00","$166,500.00"
Alabama,101350,Escambia County School District,yes,no,no,Not concentrated,high poverty,32-Town: Distant,"4,479",50%,50%,28%,"$9,382.00","$3,003.00","$6,380.00","$42,022,826.00","$13,448,913.00","$28,573,913.00","$31,864.00","$92,500.00"
Alabama,101380,Etowah County School District,yes,yes,yes,Concentrated white,low poverty,23-Suburb: Small,"8,802",9%,91%,20%,"$8,312.00","$2,135.00","$6,176.00","$73,158,342.00","$18,794,899.00","$54,363,443.00","$49,055.00","$118,400.00"
Alabama,101410,Eufaula City School District,yes,no,no,Not concentrated,high poverty,41-Rural: Fringe,"2,842",63%,37%,36%,"$8,517.00","$2,554.00","$5,963.00","$24,205,587.00","$7,258,101.00","$16,947,486.00","$33,362.00","$126,900.00"
Alabama,101440,Fairfield City School District,yes,yes,yes,Concentrated nonwhite,high poverty,21-Suburb: Large,"1,782",100%,0%,30%,"$8,078.00","$2,184.00","$5,894.00","$14,395,074.00","$3,892,611.00","$10,502,463.00","$32,723.00","$95,100.00"
Alabama,101470,Fayette County School District,yes,yes,no,Concentrated white,high poverty,42-Rural: Distant,"2,403",18%,82%,27%,"$8,812.00","$2,424.00","$6,388.00","$21,174,201.00","$5,824,697.00","$15,349,504.00","$35,549.00","$75,300.00"
Alabama,101530,Florence City School District,yes,no,no,Not concentrated,high poverty,13-City: Small,"4,519",49%,51%,24%,"$11,501.00","$6,243.00","$5,258.00","$51,974,522.00","$28,212,314.00","$23,762,208.00","$37,058.00","$126,000.00"
Alabama,101560,Fort Payne City School District,yes,no,no,Not concentrated,high poverty,32-Town: Distant,"3,205",44%,56%,29%,"$8,426.00","$2,610.00","$5,816.00","$27,005,525.00","$8,365,746.00","$18,639,779.00","$38,445.00","$115,600.00"
Alabama,101590,Franklin County School District,yes,yes,no,Concentrated white,high poverty,42-Rural: Distant,"3,388",13%,87%,24%,"$9,120.00","$2,499.00","$6,621.00","$30,899,890.00","$8,467,547.00","$22,432,343.00","$37,701.00","$85,200.00"
Alabama,101620,Gadsden City School District,yes,no,no,Not concentrated,high poverty,13-City: Small,"5,226",62%,38%,35%,"$8,635.00","$2,953.00","$5,681.00","$45,125,399.00","$15,434,644.00","$29,690,755.00","$30,496.00","$72,700.00"
Alabama,101640,Geneva City School District,yes,yes,no,Concentrated white,high poverty,41-Rural: Fringe,"1,275",17%,83%,30%,"$9,606.00","$2,534.00","$7,071.00","$12,247,046.00","$3,230,934.00","$9,016,112.00","$37,754.00","$86,300.00"
Alabama,101660,Geneva County School District,yes,yes,no,Concentrated white,high poverty,42-Rural: Distant,"2,742",24%,76%,28%,"$8,606.00","$1,990.00","$6,616.00","$23,598,281.00","$5,457,573.00","$18,140,709.00","$36,230.00","$77,700.00"
Alabama,101680,Greene County School District,yes,yes,yes,Concentrated nonwhite,high poverty,42-Rural: Distant,"1,173",100%,0%,47%,"$10,839.00","$4,191.00","$6,648.00","$12,714,135.00","$4,915,612.00","$7,798,523.00","$21,339.00","$68,100.00"
Alabama,101690,Guntersville City School District,yes,no,no,Not concentrated,high poverty,32-Town: Distant,"1,999",26%,74%,26%,"$9,443.00","$3,902.00","$5,540.00","$18,875,803.00","$7,800,857.00","$11,074,946.00","$42,273.00","$167,500.00"
Alabama,101710,Hale County School District,yes,no,no,Not concentrated,high poverty,31-Town: Fringe,"2,687",71%,29%,32%,"$9,546.00","$2,906.00","$6,640.00","$25,649,142.00","$7,807,940.00","$17,841,202.00","$33,351.00","$89,400.00"
Alabama,101720,Haleyville City School District,yes,yes,no,Concentrated white,high poverty,41-Rural: Fringe,"1,711",12%,88%,25%,"$9,248.00","$3,179.00","$6,069.00","$15,822,492.00","$5,438,809.00","$10,383,682.00","$29,909.00","$72,700.00"
Alabama,101730,Hartselle City School District,yes,yes,yes,Concentrated white,low poverty,23-Suburb: Small,"3,068",10%,90%,13%,"$9,542.00","$3,738.00","$5,803.00","$29,274,160.00","$11,469,538.00","$17,804,622.00","$53,853.00","$131,600.00"
Alabama,101740,Henry County School District,yes,no,no,Not concentrated,high poverty,31-Town: Fringe,"2,540",38%,62%,26%,"$8,763.00","$2,577.00","$6,186.00","$22,257,204.00","$6,545,358.00","$15,711,846.00","$41,045.00","$101,800.00"
Alabama,101760,Homewood City School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"4,069",37%,63%,9%,"$11,864.00","$7,785.00","$4,079.00","$48,273,892.00","$31,675,862.00","$16,598,030.00","$66,573.00","$299,100.00"
Alabama,100007,Hoover City School District,yes,no,no,Not concentrated,low poverty,13-City: Small,"13,910",42%,58%,8%,"$11,101.00","$6,398.00","$4,702.00","$154,409,852.00","$88,999,015.00","$65,410,837.00","$77,503.00","$266,700.00"
Alabama,101770,Houston County School District,yes,yes,no,Concentrated white,high poverty,41-Rural: Fringe,"6,343",23%,77%,23%,"$7,804.00","$2,520.00","$5,284.00","$49,501,567.00","$15,987,461.00","$33,514,107.00","$41,021.00","$96,200.00"
Alabama,101800,Huntsville City School District,yes,no,no,Not concentrated,high poverty,12-City: Mid-size,"23,827",59%,41%,23%,"$9,835.00","$5,272.00","$4,563.00","$234,328,313.00","$125,605,422.00","$108,722,892.00","$51,441.00","$168,900.00"
Alabama,101830,Jackson County School District,yes,yes,no,Concentrated white,high poverty,42-Rural: Distant,"5,528",18%,82%,21%,"$9,661.00","$3,104.00","$6,557.00","$53,408,360.00","$17,160,772.00","$36,247,588.00","$37,731.00","$95,200.00"
Alabama,101860,Jacksonville City School District,yes,no,no,Not concentrated,high poverty,13-City: Small,"1,544",38%,62%,23%,"$8,847.00","$3,227.00","$5,620.00","$13,659,979.00","$4,983,105.00","$8,676,874.00","$39,216.00","$149,400.00"
Alabama,101890,Jasper City School District,yes,no,no,Not concentrated,high poverty,32-Town: Distant,"2,746",29%,71%,29%,"$9,420.00","$3,976.00","$5,444.00","$25,867,229.00","$10,917,808.00","$14,949,420.00","$39,075.00","$136,000.00"
Alabama,101920,Jefferson County School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"36,092",57%,43%,17%,"$8,197.00","$2,995.00","$5,202.00","$295,862,069.00","$108,097,537.00","$187,764,532.00","$52,202.00","$133,200.00"
Alabama,101950,Lamar County School District,yes,yes,no,Concentrated white,high poverty,43-Rural: Remote,"2,351",16%,84%,24%,"$8,756.00","$2,213.00","$6,543.00","$20,584,967.00","$5,202,614.00","$15,382,353.00","$34,298.00","$71,100.00"
Alabama,101980,Lanett City School District,yes,yes,yes,Concentrated nonwhite,high poverty,32-Town: Distant,863,92%,8%,45%,"$9,490.00","$2,570.00","$6,920.00","$8,189,956.00","$2,218,341.00","$5,971,616.00","$27,297.00","$81,200.00"
Alabama,102010,Lauderdale County School District,yes,yes,yes,Concentrated white,low poverty,42-Rural: Distant,"8,445",6%,94%,17%,"$8,555.00","$2,767.00","$5,788.00","$72,244,161.00","$23,368,365.00","$48,875,796.00","$50,146.00","$123,300.00"
Alabama,102040,Lawrence County School District,yes,no,no,Not concentrated,high poverty,42-Rural: Distant,"4,841",25%,75%,23%,"$9,955.00","$3,233.00","$6,722.00","$48,192,849.00","$15,653,304.00","$32,539,545.00","$42,339.00","$97,600.00"
Alabama,102070,Lee County School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"9,771",31%,69%,17%,"$9,441.00","$3,468.00","$5,973.00","$92,244,854.00","$33,882,990.00","$58,361,863.00","$49,445.00","$122,500.00"
Alabama,100011,Leeds City School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"1,905",40%,60%,20%,"$13,180.00","$7,874.00","$5,306.00","$25,107,389.00","$15,000,000.00","$10,107,389.00","$56,087.00","$141,600.00"
Alabama,102100,Limestone County School District,yes,yes,yes,Concentrated white,low poverty,42-Rural: Distant,"8,789",22%,78%,16%,"$9,526.00","$3,409.00","$6,116.00","$83,720,042.00","$29,962,884.00","$53,757,158.00","$50,334.00","$136,400.00"
Alabama,102130,Linden City School District,yes,yes,yes,Concentrated nonwhite,high poverty,43-Rural: Remote,518,96%,4%,36%,"$9,493.00","$2,419.00","$7,074.00","$4,917,460.00","$1,252,910.00","$3,664,550.00","$31,417.00","$83,500.00"
Alabama,102160,Lowndes County School District,yes,yes,yes,Concentrated nonwhite,high poverty,42-Rural: Distant,"1,562",99%,1%,60%,"$10,320.00","$3,070.00","$7,251.00","$16,120,301.00","$4,794,844.00","$11,325,456.00","$27,914.00","$68,900.00"
Alabama,102190,Macon County School District,yes,yes,yes,Concentrated nonwhite,high poverty,32-Town: Distant,"2,134",99%,1%,42%,"$9,473.00","$2,680.00","$6,793.00","$20,216,362.00","$5,719,053.00","$14,497,309.00","$32,390.00","$77,000.00"
Alabama,100008,Madison City School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"10,011",38%,62%,7%,"$9,763.00","$4,383.00","$5,380.00","$97,733,936.00","$43,877,510.00","$53,856,426.00","$95,423.00","$233,600.00"
Alabama,102220,Madison County School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"19,452",34%,66%,12%,"$8,719.00","$3,243.00","$5,476.00","$169,600,402.00","$63,086,345.00","$106,514,056.00","$67,125.00","$160,400.00"
Alabama,102250,Marengo County School District,yes,no,no,Not concentrated,high poverty,43-Rural: Remote,"1,090",65%,35%,31%,"$9,497.00","$2,840.00","$6,657.00","$10,351,323.00","$3,095,238.00","$7,256,085.00","$32,276.00","$78,500.00"
Alabama,102310,Marion County School District,yes,yes,no,Concentrated white,high poverty,43-Rural: Remote,"3,405",10%,90%,27%,"$8,844.00","$2,380.00","$6,465.00","$30,114,286.00","$8,102,198.00","$22,012,088.00","$32,571.00","$79,400.00"
Alabama,100006,Marshall County School District,yes,yes,no,Concentrated white,high poverty,42-Rural: Distant,"5,635",23%,77%,27%,"$8,858.00","$2,448.00","$6,409.00","$49,913,276.00","$13,796,574.00","$36,116,702.00","$41,248.00","$110,400.00"
Alabama,102350,Midfield City School District,yes,yes,yes,Concentrated nonwhite,high poverty,21-Suburb: Large,"1,134",99%,1%,30%,"$8,024.00","$2,293.00","$5,731.00","$9,099,507.00","$2,600,000.00","$6,499,507.00","$36,647.00","$75,600.00"
Alabama,102370,Mobile County School District,yes,no,no,Not concentrated,high poverty,12-City: Mid-size,"57,581",58%,42%,29%,"$8,532.00","$3,119.00","$5,413.00","$491,302,618.00","$179,613,613.00","$311,689,005.00","$43,842.00","$122,600.00"
Alabama,102400,Monroe County School District,yes,no,no,Not concentrated,high poverty,42-Rural: Distant,"3,600",57%,43%,32%,"$8,272.00","$2,235.00","$6,037.00","$29,777,656.00","$8,044,907.00","$21,732,749.00","$28,182.00","$87,700.00"
Alabama,102430,Montgomery County School District,yes,yes,yes,Concentrated nonwhite,high poverty,12-City: Mid-size,"30,667",89%,11%,27%,"$8,311.00","$2,944.00","$5,367.00","$254,876,907.00","$90,276,704.00","$164,600,203.00","$44,062.00","$118,100.00"
Alabama,102480,Morgan County School District,yes,yes,yes,Concentrated white,low poverty,42-Rural: Distant,"7,757",14%,86%,18%,"$9,532.00","$4,119.00","$5,413.00","$73,936,975.00","$31,948,529.00","$41,988,445.00","$49,414.00","$120,400.00"
Alabama,102490,Mountain Brook City School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,"4,371",4%,96%,6%,"$13,216.00","$8,871.00","$4,345.00","$57,767,488.00","$38,775,369.00","$18,992,118.00","$129,777.00","$557,300.00"
Alabama,102520,Muscle Shoals City School District,yes,no,no,Not concentrated,low poverty,13-City: Small,"2,907",25%,75%,16%,"$9,902.00","$4,343.00","$5,559.00","$28,784,188.00","$12,623,932.00","$16,160,256.00","$52,132.00","$135,000.00"
Alabama,102550,Oneonta City School District,yes,no,no,Not concentrated,low poverty,41-Rural: Fringe,"1,477",33%,67%,19%,"$8,921.00","$2,871.00","$6,050.00","$13,176,535.00","$4,240,132.00","$8,936,404.00","$46,750.00","$153,500.00"
Alabama,102580,Opelika City School District,yes,no,no,Not concentrated,high poverty,13-City: Small,"4,240",71%,29%,25%,"$10,668.00","$5,051.00","$5,616.00","$45,231,853.00","$21,418,202.00","$23,813,651.00","$41,566.00","$153,400.00"
Alabama,102610,Opp City School District,yes,no,no,Not concentrated,high poverty,33-Town: Remote,"1,357",26%,74%,36%,"$9,257.00","$3,112.00","$6,146.00","$12,561,822.00","$4,222,343.00","$8,339,479.00","$32,923.00","$87,900.00"
Alabama,102635,Oxford City School District,yes,no,no,Not concentrated,low poverty,13-City: Small,"4,171",42%,58%,20%,"$9,747.00","$4,162.00","$5,586.00","$40,656,811.00","$17,359,029.00","$23,297,782.00","$50,809.00","$126,600.00"
Alabama,102640,Ozark City School District,yes,no,no,Not concentrated,high poverty,31-Town: Fringe,"2,131",56%,44%,32%,"$9,804.00","$3,111.00","$6,693.00","$20,893,235.00","$6,630,021.00","$14,263,214.00","$37,688.00","$98,400.00"
Alabama,102650,Pell City City School District,yes,yes,yes,Concentrated white,low poverty,32-Town: Distant,"4,023",18%,82%,16%,"$8,693.00","$2,823.00","$5,871.00","$34,973,262.00","$11,356,150.00","$23,617,112.00","$48,108.00","$148,600.00"
Alabama,102670,Perry County School District,yes,yes,yes,Concentrated nonwhite,high poverty,43-Rural: Remote,"1,525",99%,1%,48%,"$8,761.00","$1,756.00","$7,004.00","$13,359,956.00","$2,678,337.00","$10,681,619.00","$24,912.00","$73,700.00"
Alabama,102700,Phenix City City School District,yes,no,no,Not concentrated,high poverty,21-Suburb: Large,"7,043",70%,30%,27%,"$8,569.00","$2,593.00","$5,976.00","$60,351,351.00","$18,264,865.00","$42,086,486.00","$39,691.00","$124,100.00"
Alabama,102730,Pickens County School District,yes,no,no,Not concentrated,high poverty,42-Rural: Distant,"2,633",63%,37%,33%,"$9,540.00","$2,461.00","$7,079.00","$25,118,172.00","$6,479,376.00","$18,638,796.00","$31,679.00","$89,100.00"
Alabama,102760,Piedmont City School District,yes,yes,no,Concentrated white,high poverty,31-Town: Fringe,"1,247",18%,82%,28%,"$8,283.00","$2,384.00","$5,899.00","$10,328,405.00","$2,972,545.00","$7,355,861.00","$32,284.00","$78,200.00"
Alabama,102790,Pike County School District,yes,no,no,Not concentrated,high poverty,42-Rural: Distant,"2,189",55%,45%,31%,"$9,472.00","$3,105.00","$6,367.00","$20,734,801.00","$6,797,694.00","$13,937,107.00","$36,641.00","$79,400.00"
Alabama,100195,Pike Road City School District,yes,no,no,Not concentrated,low poverty,41-Rural: Fringe,"1,125",48%,52%,6%,"$7,864.00","$3,259.00","$4,605.00","$8,847,406.00","$3,666,328.00","$5,181,078.00","$94,805.00","$244,900.00"
Alabama,102820,Randolph County School District,yes,yes,no,Concentrated white,high poverty,43-Rural: Remote,"2,228",23%,77%,32%,"$9,072.00","$2,799.00","$6,273.00","$20,212,882.00","$6,235,808.00","$13,977,074.00","$38,876.00","$88,300.00"
Alabama,102850,Roanoke City School District,yes,no,no,Not concentrated,high poverty,32-Town: Distant,"1,542",44%,56%,29%,"$8,026.00","$2,246.00","$5,780.00","$12,375,546.00","$3,462,882.00","$8,912,664.00","$36,591.00","$78,500.00"
Alabama,102880,Russell County School District,yes,no,no,Not concentrated,high poverty,42-Rural: Distant,"3,598",50%,50%,24%,"$8,546.00","$2,377.00","$6,169.00","$30,748,108.00","$8,553,514.00","$22,194,595.00","$43,288.00","$119,400.00"
Alabama,102910,Russellville City School District,yes,no,no,Not concentrated,high poverty,32-Town: Distant,"2,743",54%,46%,37%,"$8,935.00","$2,782.00","$6,153.00","$24,508,251.00","$7,631,463.00","$16,876,788.00","$31,262.00","$96,400.00"
